age_group,age_lo,age_hi,age_unit,sex,factor,item_code,item_name,unit,lower_is_better,status,n_measured,n,method,has_grade3,anchor_0,anchor_40,anchor_60,anchor_80,anchor_100,value_min,value_max,score_p10,score_p25,score_p50,score_p75,score_p90,score_mean
성인,45,49,세,F,심폐지구력,020,왕복오래달리기,회,0,ok,1356,1356,ecdf,1,0.0,14.0,18.0,23.0,36.0,0.0,55.0,6.88,22.19,46.69,68.33,89.37,46.86
성인,45,49,세,F,민첩성,021,10m4회왕복달리기,초,1,ok,1353,1353,ecdf,0,-17.8788,,-14.4,-13.4,-11.4508,10.2,60.0,18.42,52.56,76.25,89.02,96.52,67.22
성인,45,49,세,F,순발력,022,제자리멀리뛰기,cm,0,ok,3738,3738,ecdf,0,95.0,,136.0,148.0,183.0,0.0,217.0,14.47,43.51,74.13,89.49,96.18,64.72
성인,45,49,세,F,근력,028,상대악력,%,0,ok,7820,7820,ecdf,1,29.3,37.6,41.9,46.2,65.2,0.0,90.1,29.89,57.55,81.28,91.09,96.96,71.24
성인,45,49,세,F,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,1456,1456,ecdf,1,27.21,29.7,31.4,33.0,40.59,22.2,56.5,42.9,68.93,85.01,93.14,97.56,77.0
성인,45,49,세,F,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,4992,4992,ecdf,1,25.4,29.7,31.4,33.0,39.3,13.9,45.2,24.37,55.83,81.9,91.6,96.93,70.63
성인,45,49,세,F,민첩성,040,반응시간,초,1,ok,5747,5747,ecdf,0,-0.5682,,-0.392,-0.35,-0.286,0.178,1.999,10.37,30.12,61.55,78.81,92.36,55.06
성인,45,49,세,F,순발력,041,성인체공시간,초,0,ok,3359,3359,ecdf,0,0.3002,,0.404,0.431,0.502,0.1,0.688,11.93,33.73,65.27,85.52,94.82,59.02
성인,50,54,세,M,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,9739,9739,ecdf,1,-13.4,4.7,9.3,13.9,22.8,-30.0,31.0,12.06,34.73,61.01,82.24,93.93,57.12
성인,50,54,세,M,근지구력,019,교차윗몸일으키기,회,0,ok,9733,9733,ecdf,1,2.0,26.0,32.0,38.0,53.0,0.0,73.0,16.25,43.29,63.84,86.7,94.85,60.79
성인,50,54,세,M,심폐지구력,020,왕복오래달리기,회,0,ok,2531,2531,ecdf,1,0.0,21.0,28.0,35.0,54.0,0.0,103.0,11.03,40.0,54.85,80.0,92.55,55.34
성인,50,54,세,M,민첩성,021,10m4회왕복달리기,초,1,ok,2166,2166,ecdf,0,-14.756,,-13.0,-11.8,-10.246,9.07,26.31,46.61,67.33,80.76,90.81,96.95,75.17
성인,50,54,세,M,순발력,022,제자리멀리뛰기,cm,0,ok,6589,6589,ecdf,0,135.0,,177.0,192.0,228.0,0.0,273.0,24.94,63.57,81.58,91.18,96.96,72.22
성인,50,54,세,M,근력,028,상대악력,%,0,ok,10155,10155,ecdf,1,40.8,50.1,55.3,60.5,79.2,0.0,151.2,29.06,54.86,77.93,89.95,96.54,69.59
성인,50,54,세,M,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,1325,1325,ecdf,1,29.944,35.0,36.9,38.8,46.9,22.4,62.1,22.15,50.93,78.06,90.0,96.53,68.07
성인,50,54,세,M,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,6288,6288,ecdf,1,30.7,35.0,36.9,38.8,45.6,20.1,51.7,23.6,51.52,79.04,90.0,96.69,68.44
성인,50,54,세,M,민첩성,040,반응시간,초,1,ok,7564,7564,ecdf,0,-0.5067,,-0.371,-0.337,-0.2693,0.175,1.999,14.1,41.15,70.03,86.13,95.06,62.22
성인,50,54,세,M,순발력,041,성인체공시간,초,0,ok,3131,3131,ecdf,0,0.357,,0.486,0.527,0.604,0.001,0.9,17.87,50.9,71.34,85.85,95.04,64.61
성인,50,54,세,F,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,9838,9838,ecdf,1,-5.8,11.7,15.6,19.5,27.3,-30.0,34.8,12.41,35.24,60.91,82.51,93.93,57.29
성인,50,54,세,F,근지구력,019,교차윗몸일으키기,회,0,ok,9781,9781,ecdf,1,0.0,13.0,19.0,24.0,42.0,0.0,58.0,8.83,34.98,65.02,85.94,94.82,58.21
성인,50,54,세,F,심폐지구력,020,왕복오래달리기,회,0,ok,1970,1970,ecdf,1,0.0,12.0,16.0,21.0,34.0,0.0,47.0,12.65,30.25,53.19,73.09,91.59,51.2
성인,50,54,세,F,민첩성,021,10m4회왕복달리기,초,1,ok,1719,1719,ecdf,0,-17.7328,,-14.9,-13.8,-11.8616,9.4,25.62,21.09,60.19,76.33,89.1,96.22,68.68
성인,50,54,세,F,순발력,022,제자리멀리뛰기,cm,0,ok,5869,5869,ecdf,0,90.0,,126.0,138.0,175.0,0.0,235.0,20.35,56.29,80.66,90.75,96.71,69.32
성인,50,54,세,F,근력,028,상대악력,%,0,ok,10610,10610,ecdf,1,28.8,36.5,40.6,44.7,63.0,0.0,79.1,31.89,60.0,82.33,91.54,97.05,72.45
성인,50,54,세,F,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,2135,2135,ecdf,1,26.268,29.1,30.7,32.3,40.2,17.7,47.8,42.24,67.08,84.77,92.63,97.5,76.37
성인,50,54,세,F,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,6466,6466,ecdf,1,24.6,29.1,30.7,32.3,38.5,13.9,43.3,21.1,52.69,80.48,90.68,96.91,69.17
성인,50,54,세,F,민첩성,040,반응시간,초,1,ok,7972,7972,ecdf,0,-0.5616,,-0.395,-0.354,-0.285,0.033,1.892,11.19,32.39,62.95,79.65,93.05,56.31
성인,50,54,세,F,순발력,041,성인체공시간,초,0,ok,3822,3822,ecdf,0,0.291,,0.381,0.407,0.49,0.001,0.999,14.92,43.09,74.07,88.8,96.29,65.08
성인,55,59,세,M,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,8792,8792,ecdf,1,-13.4,3.9,8.6,13.3,23.2,-30.0,40.0,13.55,39.09,63.78,83.99,94.54,59.28
성인,55,59,세,M,근지구력,019,교차윗몸일으키기,회,0,ok,8796,8796,ecdf,1,3.0,23.0,29.0,35.0,51.1,0.0,76.0,15.87,42.8,67.47,85.11,94.88,61.17
성인,55,59,세,M,심폐지구력,020,왕복오래달리기,회,0,ok,2290,2290,ecdf,1,0.0,18.0,25.0,31.0,51.0,0.0,70.0,13.72,40.0,56.16,80.0,93.05,56.44
성인,55,59,세,M,민첩성,021,10m4회왕복달리기,초,1,ok,1979,1979,ecdf,0,-15.3552,,-13.7,-12.3,-10.5468,9.85,30.0,56.71,68.62,82.16,91.46,97.1,76.65
성인,55,59,세,M,순발력,022,제자리멀리뛰기,cm,0,ok,5792,5792,ecdf,0,126.0,,168.0,183.0,221.0,0.0,275.0,24.96,62.94,81.9,91.8,97.16,72.31
성인,55,59,세,M,근력,028,상대악력,%,0,ok,9257,9257,ecdf,1,40.6,49.0,54.2,59.4,78.5,0.0,100.2,30.91,55.92,78.88,90.13,96.61,70.23
성인,55,59,세,M,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,1323,1323,ecdf,1,29.8,34.1,35.9,37.7,45.956,19.1,51.9,20.59,50.36,79.05,90.15,96.62,68.06
성인,55,59,세,M,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,5620,5620,ecdf,1,30.0,34.1,35.9,37.7,44.8,13.9,49.3,22.81,52.5,80.0,90.45,96.65,68.99
성인,55,59,세,M,민첩성,040,반응시간,초,1,ok,6775,6775,ecdf,0,-0.5465,,-0.383,-0.348,-0.278,0.148,1.99,14.09,40.87,69.73,86.08,95.26,62.32
성인,55,59,세,M,순발력,041,성인체공시간,초,0,ok,2953,2953,ecdf,0,0.325,,0.475,0.508,0.58,0.001,0.714,13.03,39.68,67.56,85.06,94.79,60.41
성인,55,59,세,F,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,10113,10113,ecdf,1,-3.876,11.9,15.7,19.5,27.376,-30.0,36.7,12.84,36.9,62.9,84.17,94.5,58.63
성인,55,59,세,F,근지구력,019,교차윗몸일으키기,회,0,ok,10066,10066,ecdf,1,0.0,9.0,15.0,20.0,39.0,0.0,61.0,4.84,34.51,67.48,87.06,96.04,59.31
성인,55,59,세,F,심폐지구력,020,왕복오래달리기,회,0,ok,1865,1865,ecdf,1,0.0,11.0,14.0,18.0,32.0,0.0,49.0,10.69,24.67,52.04,80.0,92.03,52.89
성인,55,59,세,F,민첩성,021,10m4회왕복달리기,초,1,ok,1558,1558,ecdf,0,-18.7672,,-15.8,-14.5,-12.3,9.88,60.0,32.05,65.15,80.84,90.81,96.87,73.31
성인,55,59,세,F,순발력,022,제자리멀리뛰기,cm,0,ok,6041,6041,ecdf,0,84.0,,117.0,129.0,170.0,0.0,283.0,25.74,64.85,83.22,92.29,97.14,73.24
성인,55,59,세,F,근력,028,상대악력,%,0,ok,11232,11232,ecdf,1,28.0,35.2,39.2,43.2,62.5,0.0,78.8,37.94,63.1,83.43,92.08,97.23,74.29
성인,55,59,세,F,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,2053,2053,ecdf,1,26.0,28.4,29.8,31.3,38.9,17.8,44.7,42.34,68.9,85.27,92.97,97.55,76.73
성인,55,59,세,F,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,7259,7259,ecdf,1,23.8,28.4,29.8,31.3,37.5,10.5,40.9,22.06,52.62,81.46,91.1,96.97,69.52
성인,55,59,세,F,민첩성,040,반응시간,초,1,ok,8367,8367,ecdf,0,-0.5987,,-0.416,-0.369,-0.291,0.074,1.999,13.73,38.67,67.63,83.66,94.36,60.67
성인,55,59,세,F,순발력,041,성인체공시간,초,0,ok,3873,3873,ecdf,0,0.2624,,0.374,0.402,0.476,0.001,0.676,13.64,39.58,69.8,87.23,95.45,62.45
성인,60,64,세,M,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,16740,16740,ecdf,1,-10.6,2.3,7.1,11.8,22.6,-30.0,40.0,23.78,50.44,71.92,87.8,95.71,66.29
성인,60,64,세,M,근지구력,019,교차윗몸일으키기,회,0,ok,16749,16749,ecdf,1,6.0,19.0,25.0,31.0,47.04,0.0,61.0,22.85,49.07,69.83,87.59,96.47,64.91
성인,60,64,세,M,심폐지구력,020,왕복오래달리기,회,0,ok,4647,4647,ecdf,1,6.0,15.0,20.0,26.0,40.0,0.0,73.0,16.78,45.15,60.0,80.0,91.59,58.12
성인,60,64,세,M,민첩성,021,10m4회왕복달리기,초,1,ok,4350,4350,ecdf,0,-16.0002,,-14.6,-13.1,-10.85,9.52,30.0,61.87,73.39,85.1,93.16,97.54,79.86
성인,60,64,세,M,순발력,022,제자리멀리뛰기,cm,0,ok,11520,11520,ecdf,0,117.0,,154.0,170.0,211.0,0.0,284.0,36.17,68.21,83.81,92.0,97.21,75.72
성인,60,64,세,M,근력,028,상대악력,%,0,ok,17266,17266,ecdf,1,41.1,46.6,51.7,56.8,77.6,0.0,155.8,46.2,66.68,83.89,92.23,97.31,76.55
성인,60,64,세,M,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,3112,3112,ecdf,1,28.922,33.2,34.8,36.3,44.7,19.2,61.4,20.66,51.25,80.0,90.46,96.78,68.48
성인,60,64,세,M,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,9473,9473,ecdf,1,29.2,33.2,34.8,36.3,43.0,15.9,52.2,22.08,50.61,80.0,90.53,96.63,68.41
성인,60,64,세,M,민첩성,040,반응시간,초,1,ok,12330,12330,ecdf,0,-0.531,,-0.402,-0.351,-0.284,0.141,1.999,19.76,57.36,71.54,85.01,94.86,65.71
성인,60,64,세,M,순발력,041,성인체공시간,초,0,ok,5151,5151,ecdf,0,0.321,,0.443,0.474,0.564,0.1,0.999,16.6,47.81,77.19,89.78,96.56,66.87
성인,60,64,세,F,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,9485,9485,ecdf,1,-2.632,11.8,15.7,19.6,27.8,-20.0,35.0,14.09,40.31,64.08,84.06,94.27,59.58
성인,60,64,세,F,근지구력,019,교차윗몸일으키기,회,0,ok,9354,9354,ecdf,1,0.0,7.0,12.0,17.0,36.0,0.0,61.0,0.0,27.18,63.93,86.2,95.33,56.64
성인,60,64,세,F,심폐지구력,020,왕복오래달리기,회,0,ok,1847,1847,ecdf,1,0.0,9.0,12.0,15.0,27.0,0.0,46.0,3.43,30.52,48.1,72.54,91.01,49.35
성인,60,64,세,F,민첩성,021,10m4회왕복달리기,초,1,ok,1443,1443,ecdf,0,-20.0016,,-16.8,-15.3,-12.6084,11.703,60.0,37.89,68.76,84.0,92.33,97.34,76.17
성인,60,64,세,F,순발력,022,제자리멀리뛰기,cm,0,ok,5235,5235,ecdf,0,70.0,,107.0,120.0,162.0,0.0,212.0,22.35,62.59,82.2,91.16,97.09,71.47
성인,60,64,세,F,근력,028,상대악력,%,0,ok,10710,10710,ecdf,1,28.418,34.1,38.0,41.9,61.6,0.0,98.6,43.25,67.3,84.48,92.56,97.43,76.36
성인,60,64,세,F,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,1989,1989,ecdf,1,25.576,27.7,29.0,30.2,37.9,19.6,49.4,44.56,73.2,85.91,93.28,97.68,78.22
성인,60,64,세,F,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,6788,6788,ecdf,1,22.474,27.7,29.0,30.2,36.5,10.6,44.6,20.51,52.77,82.49,91.66,97.17,70.28
성인,60,64,세,F,민첩성,040,반응시간,초,1,ok,7790,7790,ecdf,0,-0.638,,-0.434,-0.387,-0.295,0.14,1.999,14.28,41.16,69.8,86.0,95.09,62.42
성인,60,64,세,F,순발력,041,성인체공시간,초,0,ok,3971,3971,ecdf,0,0.249,,0.366,0.393,0.454,0.001,0.626,10.37,29.85,61.97,83.02,94.17,56.44
청소년,13,13,세,M,근지구력,009,윗몸말아올리기,회,0,ok,5350,5350,ecdf,1,4.0,36.0,49.0,61.0,90.0,0.0,100.0,6.51,19.09,40.0,80.0,95.53,47.7
청소년,13,13,세,M,근지구력,010,반복점프,회,0,ok,5896,5896,ecdf,1,12.0,33.0,39.0,44.0,59.0,0.0,80.0,11.46,33.67,67.6,87.29,96.49,60.29
청소년,13,13,세,M,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,11276,11276,ecdf,1,-15.0,1.0,5.3,9.6,21.35,-30.0,31.5,12.05,31.56,59.08,83.18,94.22,56.25
청소년,13,13,세,M,민첩성,013,일리노이,초,1,ok,11182,11182,ecdf,0,-27.359,,-20.3,-19.1,-16.9462,11.16,120.0,10.39,29.83,61.53,82.98,93.97,56.07
청소년,13,13,세,M,순발력,014,체공시간,초,0,ok,10393,10393,ecdf,0,0.34,,0.489,0.526,0.648,0.0,589.0,12.56,36.76,69.98,88.17,95.81,62.07
청소년,13,13,세,M,협응력,017,눈-손협응력,초,1,ok,10457,10457,ecdf,0,-72.9554,,-58.2,-53.9,-41.5267,26.487,124.554,20.39,58.61,81.12,90.96,96.86,69.95
청소년,13,13,세,M,심폐지구력,020,왕복오래달리기,회,0,ok,11217,11217,ecdf,1,5.0,30.0,40.0,50.0,84.0,0.0,120.0,9.32,26.29,54.77,84.75,95.39,54.48
청소년,13,13,세,M,근력,028,상대악력,%,0,ok,11354,11354,ecdf,1,28.106,41.0,46.4,51.8,77.7,0.0,117.2,17.43,46.11,78.05,90.13,96.6,66.41
청소년,13,13,세,M,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,41,41,ecdf,1,33.18,40.6,43.2,45.8,53.62,31.9,56.9,26.67,63.64,81.0,91.0,97.0,72.22
청소년,13,13,세,M,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,53,53,ecdf,1,40.004,40.6,43.2,45.8,54.276,39.7,55.0,52.8,81.03,87.69,94.87,98.36,81.48
청소년,13,13,세,F,근지구력,009,윗몸말아올리기,회,0,ok,4419,4419,ecdf,1,0.0,25.0,37.0,48.0,80.0,0.0,150.0,5.9,17.5,37.65,60.0,87.56,42.3
청소년,13,13,세,F,근지구력,010,반복점프,회,0,ok,4521,4521,ecdf,1,8.2,22.0,27.0,31.0,52.0,0.0,66.0,12.36,35.14,64.78,88.63,95.88,60.5
청소년,13,13,세,F,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,8960,8960,ecdf,1,-11.0,7.4,12.0,16.6,28.0,-22.0,45.0,10.33,30.07,58.05,83.95,94.71,55.57
청소년,13,13,세,F,민첩성,013,일리노이,초,1,ok,8865,8865,ecdf,0,-29.89,,-22.6,-21.3,-18.6328,12.93,120.0,10.66,30.74,62.86,83.72,94.42,56.91
청소년,13,13,세,F,순발력,014,체공시간,초,0,ok,8161,8161,ecdf,0,0.2792,,0.43,0.464,0.558,0.0,539.0,10.79,31.37,64.57,86.46,94.56,57.81
청소년,13,13,세,F,협응력,017,눈-손협응력,초,1,ok,8363,8363,ecdf,0,-78.1303,,-60.5,-55.5,-42.6404,25.292,120.736,20.99,60.09,78.07,89.85,96.47,69.12
청소년,13,13,세,F,심폐지구력,020,왕복오래달리기,회,0,ok,8908,8908,ecdf,1,5.0,19.0,25.0,32.0,54.0,0.0,115.0,11.58,27.72,52.16,77.61,93.23,52.01
청소년,13,13,세,F,근력,028,상대악력,%,0,ok,8993,8993,ecdf,1,27.2,36.3,40.5,44.7,67.0,10.5,233.8,24.04,53.8,81.43,91.13,96.89,70.01
청소년,13,13,세,F,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,24,24,linear,1,30.504,32.8,34.5,36.2,44.184,29.4,46.3,29.2,64.12,84.51,86.7,92.12,71.16
청소년,13,13,세,F,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,34,34,ecdf,1,28.072,32.8,34.5,36.2,44.248,25.3,45.7,75.0,82.41,88.52,94.81,98.3,84.69
청소년,14,14,세,M,근지구력,009,윗몸말아올리기,회,0,ok,5391,5391,ecdf,1,4.0,37.0,48.0,60.0,90.0,0.0,121.0,6.9,19.41,38.81,80.0,96.63,47.59
청소년,14,14,세,M,근지구력,010,반복점프,회,0,ok,5598,5598,ecdf,1,12.0,36.0,42.0,48.0,61.0,0.0,73.0,15.8,42.49,68.92,87.16,96.39,62.95
청소년,14,14,세,M,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,11021,11021,ecdf,1,-15.0,2.1,6.5,10.9,23.7,-30.0,35.2,9.84,30.51,58.56,83.99,94.39,55.86
청소년,14,14,세,M,민첩성,013,일리노이,초,1,ok,10943,10943,ecdf,0,-26.3416,,-19.9,-18.7,-16.5484,5.0,120.0,11.01,31.45,63.55,84.17,94.51,57.5
청소년,14,14,세,M,순발력,014,체공시간,초,0,ok,10238,10238,ecdf,0,0.353,,0.518,0.555,0.675,0.0,651.0,13.76,37.86,72.63,87.29,95.54,61.6
청소년,14,14,세,M,협응력,017,눈-손협응력,초,1,ok,10324,10324,ecdf,0,-66.5917,,-55.1,-51.0,-38.6438,28.601,120.782,21.21,60.36,82.19,91.47,97.03,70.92
청소년,14,14,세,M,심폐지구력,020,왕복오래달리기,회,0,ok,10967,10967,ecdf,1,6.0,36.0,46.0,56.0,94.0,0.0,137.0,8.72,24.69,53.76,83.73,94.51,53.59
청소년,14,14,세,M,근력,028,상대악력,%,0,ok,11093,11093,ecdf,1,30.4,44.6,49.8,55.0,82.4,0.0,114.4,17.86,47.64,80.59,90.73,96.78,67.48
청소년,14,14,세,M,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,35,35,ecdf,1,38.412,41.2,43.7,46.2,53.3,37.8,53.3,42.0,65.0,84.76,91.9,96.76,75.23
청소년,14,14,세,M,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,59,59,ecdf,1,33.944,41.2,43.7,46.2,55.088,31.1,55.8,38.4,68.75,85.41,93.24,97.95,76.18
청소년,14,14,세,F,근지구력,009,윗몸말아올리기,회,0,ok,4458,4458,ecdf,1,0.0,24.0,36.0,47.0,80.0,0.0,90.0,5.85,18.07,36.39,59.11,88.26,41.11
청소년,14,14,세,F,근지구력,010,반복점프,회,0,ok,3787,3787,ecdf,1,5.0,23.0,28.0,34.0,54.0,0.0,63.0,12.51,35.19,63.1,86.88,95.3,59.03
청소년,14,14,세,F,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,8267,8267,ecdf,1,-11.8,8.6,13.4,18.2,30.0,-20.0,40.6,9.6,27.77,56.47,82.32,93.6,54.33
청소년,14,14,세,F,민첩성,013,일리노이,초,1,ok,8212,8212,ecdf,0,-30.0,,-22.8,-21.3,-18.5122,5.0,120.0,11.43,33.19,65.24,84.15,94.52,58.44
청소년,14,14,세,F,순발력,014,체공시간,초,0,ok,7610,7610,ecdf,0,0.291,,0.439,0.474,0.565,0.0,490.0,9.97,28.44,60.0,83.35,94.62,55.33
청소년,14,14,세,F,협응력,017,눈-손협응력,초,1,ok,7727,7727,ecdf,0,-71.6904,,-57.9,-53.6,-40.4191,16.824,120.46,18.58,53.38,80.85,90.83,96.81,68.89
청소년,14,14,세,F,심폐지구력,020,왕복오래달리기,회,0,ok,8230,8230,ecdf,1,5.0,19.0,26.0,34.0,53.42,0.0,101.0,10.16,24.66,47.97,69.77,91.16,48.84
청소년,14,14,세,F,근력,028,상대악력,%,0,ok,8330,8330,ecdf,1,27.5,36.1,40.4,44.7,66.542,12.3,91.4,25.83,55.33,81.72,91.28,96.96,70.69
청소년,14,14,세,F,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,22,22,linear,1,19.704,33.0,34.8,36.6,42.316,12.9,42.4,34.92,39.02,67.22,83.59,96.48,61.79
청소년,14,14,세,F,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,58,58,ecdf,1,27.934,33.0,34.8,36.6,45.704,24.8,45.9,37.6,72.14,86.05,93.55,98.05,77.13
청소년,15,15,세,M,근지구력,009,윗몸말아올리기,회,0,ok,6881,6881,ecdf,1,4.0,29.0,39.0,49.0,100.0,0.0,111.0,9.77,26.47,52.7,83.34,96.19,53.32
청소년,15,15,세,M,근지구력,010,반복점프,회,0,ok,9437,9437,ecdf,1,15.0,38.0,44.0,50.0,62.0,0.0,75.0,13.46,40.0,66.38,85.49,95.76,61.2
청소년,15,15,세,M,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,16381,16381,ecdf,1,-15.0,1.9,6.9,11.9,25.0,-30.0,38.9,12.11,36.62,63.01,84.88,94.73,58.5
청소년,15,15,세,M,민첩성,013,일리노이,초,1,ok,16262,16262,ecdf,0,-25.81,,-20.3,-19.0,-16.36,12.0,120.0,15.94,45.85,74.82,89.17,96.2,65.49
청소년,15,15,세,M,순발력,014,체공시간,초,0,ok,15520,15520,ecdf,0,0.382,,0.533,0.574,0.6936,0.0,643.0,14.47,40.56,72.18,88.88,96.09,63.69
청소년,15,15,세,M,협응력,017,눈-손협응력,초,1,ok,14835,14835,ecdf,0,-66.6326,,-53.9,-50.2,-37.892,21.131,124.554,20.85,59.84,82.3,91.52,97.05,70.82
청소년,15,15,세,M,심폐지구력,020,왕복오래달리기,회,0,ok,16179,16179,ecdf,1,5.0,36.0,46.0,56.0,90.0,0.0,131.0,8.95,25.3,54.34,85.06,94.53,53.95
청소년,15,15,세,M,근력,028,상대악력,%,0,ok,16595,16595,ecdf,1,32.1,47.3,53.0,58.7,84.5,0.0,121.8,17.25,46.15,77.72,89.98,96.56,66.19
청소년,15,15,세,M,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,52,52,ecdf,1,37.32,41.6,44.2,46.8,53.394,37.1,53.8,24.0,55.83,81.6,91.4,97.52,70.26
청소년,15,15,세,M,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,294,294,ecdf,1,37.158,41.6,44.2,46.8,53.684,31.1,57.7,31.52,52.59,76.42,89.52,96.35,68.85
청소년,15,15,세,F,근지구력,009,윗몸말아올리기,회,0,ok,5512,5512,ecdf,1,0.0,23.0,36.0,48.0,80.0,0.0,100.0,5.89,17.13,36.08,56.0,80.0,39.63
청소년,15,15,세,F,근지구력,010,반복점프,회,0,ok,6821,6821,ecdf,1,6.0,24.0,29.0,35.0,53.0,0.0,65.0,9.52,27.9,56.23,81.81,93.62,54.41
청소년,15,15,세,F,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,12416,12416,ecdf,1,-11.0,9.5,14.3,19.1,30.0,-30.0,37.0,9.52,27.62,56.97,82.6,94.08,54.23
청소년,15,15,세,F,민첩성,013,일리노이,초,1,ok,12306,12306,ecdf,0,-29.94,,-22.7,-21.4,-18.671,5.0,120.0,10.5,30.22,62.16,83.99,94.43,56.68
청소년,15,15,세,F,순발력,014,체공시간,초,0,ok,11857,11857,ecdf,0,0.303,,0.439,0.474,0.564,0.0,521.0,11.0,31.03,63.02,83.35,94.64,57.42
청소년,15,15,세,F,협응력,017,눈-손협응력,초,1,ok,11237,11237,ecdf,0,-74.1395,,-56.8,-52.3,-40.2201,21.377,121.518,16.04,46.06,75.99,89.42,96.32,65.91
청소년,15,15,세,F,심폐지구력,020,왕복오래달리기,회,0,ok,12416,12416,ecdf,1,5.0,19.0,26.0,32.0,52.0,0.0,100.0,9.2,23.28,47.64,71.79,90.57,48.34
청소년,15,15,세,F,근력,028,상대악력,%,0,ok,12599,12599,ecdf,1,27.4,36.2,40.2,44.2,66.4,10.9,104.4,25.51,57.26,82.4,91.64,97.06,71.44
청소년,15,15,세,F,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,28,28,linear,1,31.536,33.2,35.0,36.9,44.592,29.7,44.7,40.0,56.94,76.32,83.64,93.0,69.0
청소년,15,15,세,F,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,89,89,ecdf,1,28.308,33.2,35.0,36.9,44.048,26.5,44.5,29.09,64.71,83.2,92.0,97.28,73.39
청소년,16,16,세,M,근지구력,009,윗몸말아올리기,회,0,ok,7565,7565,ecdf,1,4.0,27.0,38.0,49.0,100.0,0.0,110.0,10.0,29.34,53.41,82.57,96.17,53.73
청소년,16,16,세,M,근지구력,010,반복점프,회,0,ok,11337,11337,ecdf,1,13.0,39.0,45.0,50.0,62.0,0.0,73.0,15.84,43.16,71.17,87.36,96.8,62.92
청소년,16,16,세,M,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,19068,19068,ecdf,1,-15.0,4.0,8.9,13.8,25.4,-30.0,36.3,9.48,27.71,56.93,81.54,93.74,54.16
청소년,16,16,세,M,민첩성,013,일리노이,초,1,ok,18895,18895,ecdf,0,-25.8012,,-20.1,-18.7,-16.19,5.0,120.0,16.55,48.12,74.49,88.73,96.07,65.82
청소년,16,16,세,M,순발력,014,체공시간,초,0,ok,18357,18357,ecdf,0,0.4,,0.53,0.569,0.701,0.0,688.0,17.4,50.02,79.31,90.61,96.64,67.89
청소년,16,16,세,M,협응력,017,눈-손협응력,초,1,ok,17215,17215,ecdf,0,-65.5141,,-51.7,-47.8,-36.8762,23.934,120.46,18.38,52.84,79.99,90.42,96.67,68.35
청소년,16,16,세,M,심폐지구력,020,왕복오래달리기,회,0,ok,18461,18461,ecdf,1,1.0,36.0,47.0,57.0,85.0,0.0,141.0,8.72,24.97,52.59,82.73,93.92,52.71
청소년,16,16,세,M,근력,028,상대악력,%,0,ok,19368,19368,ecdf,1,33.234,49.2,55.5,61.8,85.8,0.0,132.6,15.71,43.14,71.54,88.51,96.04,63.66
청소년,16,16,세,M,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,44,44,ecdf,1,39.296,41.9,44.6,47.3,51.756,36.2,52.1,41.8,54.0,78.75,90.25,96.7,70.61
